Date,obedient_metal_eel,striped_teal_baboon,huge_emerald_griffin,wide_beige_hornet,fast_burlap_aphid,original_peanut_snail,skinny_blue_sidewinder,high_beige_lobster,short_carrot_lemur,puny_tan_rhino,polite_brown_cormorant,creamy_mango_porcupine,trendy_caramel_dalmatian,clean_beige_cormorant,bright_syrup_lion,trendy_coal_ladybug,future_cloth_cormorant
2021-10-23,0.48865471,0.02991129,0.0,0.0,0.05741101,0.01607938,0.12560939,0.01318248,0.25289212,0.02376616,0.24441128,0.01641715,0.59853735,0.01744061,0.0,0.00644368,0.01653191
2021-10-22,0.71209901,0.07413842,0.0,0.17307347,0.19944642,0.01824429,0.08767383,0.0,0.03135731,0.13386408,0.23888148,0.07818272,0.92456258,0.02479738,0.03746524,0.00565745,0.09749396
2021-10-21,0.48742124,0.03561693,0.0,0.20092424,0.13137571,0.00966614,0.0,0.01900351,0.17211602,0.08936167,0.10779522,0.03140208,0.51142221,0.01856269,0.11801832,0.01174846,0.1239765
2021-10-20,0.72723673,0.12887368,0.0,0.23011366,0.07323289,0.01384852,0.0,0.07538124,0.22156785,0.16166769,0.14242688,0.02331664,0.75795453,0.02617488,0.12093475,0.0,0.13501605
2021-10-19,0.66438939,0.02722806,0.0,0.22649914,0.13394636,0.02413761,1.398e-05,0.01238996,0.13155226,0.0435046,0.0,0.01302064,0.51743481,0.00600874,0.01108124,0.01162431,0.12170988
2021-10-18,0.50524042,0.0992952,0.0,0.31411502,0.07808147,0.02594925,0.06308619,0.00074419,0.1593389,0.07933616,4.7e-06,0.01885597,0.79795288,0.0,0.00523689,0.0,0.11382808
2021-10-17,1.11270913,0.06890583,0.24655701,0.33693495,0.16724899,0.07920083,0.17483481,0.01953194,0.10338951,0.01492683,0.03724568,0.02808664,0.39317735,0.0,0.12612399,0.00618071,0.01590085
2021-10-16,0.60277353,0.09720722,0.21747276,0.23943708,0.04369787,0.01385397,0.14940359,0.02022716,0.26941951,0.17080051,0.43221382,0.05671752,0.02649586,0.01827882,0.19918979,0.0175239,0.01124417
2021-10-15,0.79423893,0.09347067,0.25133307,0.29362185,0.0434516,0.08398689,0.4005697,0.06486468,0.03169765,0.03868724,0.18642367,0.03105722,0.53073667,0.01215391,0.18419515,0.01705562,0.1014022
2021-10-14,0.74705826,0.13023262,0.23705003,0.3185212,0.19596359,0.0380955,0.12556304,0.0470832,0.47163684,0.14392266,0.03961493,0.0052904,0.30504471,0.02842683,0.03366707,0.01059163,0.04705008
